Date,White,Black,Winner,My Wins,WhiteElo,BlackElo,First Move,Win Ratio,My Rating
2024.11.01,Srikar Bollam,Mhon27,White,Srikar Bollam,1408,1419,d4,Won,1408
2024.11.01,pacotostacho,Srikar Bollam,Black,Srikar Bollam,1293,1394,d4,Won,1394
2024.11.01,Srikar Bollam,pacotostacho,White,Srikar Bollam,1411,1287,g3,Won,1411
2024.11.01,Srikar Bollam,Xabibulla67,White,Srikar Bollam,1437,1472,d4,Won,1437
2024.11.06,Srikar Bollam,edbertoguanzon,White,Srikar Bollam,1498,1529,e4,Won,1498
2024.11.06,sebamedina3312,Srikar Bollam,Black,Srikar Bollam,1428,1511,e4,Won,1511
2024.11.06,Misterstealyoqueen69,Srikar Bollam,Black,Srikar Bollam,1472,1459,d4,Won,1459
2024.11.06,Nikanorovna,Srikar Bollam,Black,Srikar Bollam,1393,1474,e4,Won,1474
2024.11.06,Srikar Bollam,FedorAntipov,White,Srikar Bollam,1479,1505,e4,Won,1479
2024.11.07,ldamax,Srikar Bollam,Black,Srikar Bollam,1459,1509,e4,Won,1509
2024.11.08,Freodus,Srikar Bollam,Black,Srikar Bollam,1553,1525,e4,Won,1525
2024.11.08,Srikar Bollam,Freodus,Black,Freodus,1513,1560,g3,Lost,1513
2024.11.08,Srikar Bollam,hgyhhhj88898,Black,hgyhhhj88898,1499,1479,g3,Lost,1499
2024.11.08,milemitovski,Srikar Bollam,Black,Srikar Bollam,1398,1508,e4,Won,1508
2024.11.11,Srikar Bollam,plancoetosaure,White,Srikar Bollam,1519,1456,g3,Won,1519
2024.11.11,PawnStorm1111,Srikar Bollam,Black,Srikar Bollam,1550,1532,Nf,Won,1532
2024.11.12,sT6-Leo,Srikar Bollam,Black,Srikar Bollam,1433,1516,e4,Won,1516
2024.11.12,Dialog_3a_babku,Srikar Bollam,Black,Srikar Bollam,1446,1513,e4,Won,1513
2024.11.12,ELGATO2U,Srikar Bollam,Black,Srikar Bollam,1417,1499,d4,Won,1499
2024.11.13,Srikar Bollam,samulina,White,Srikar Bollam,1508,1472,g3,Won,1508
2024.11.13,vanilson77,Srikar Bollam,Black,Srikar Bollam,1416,1500,e4,Won,1500
2024.11.13,Srikar Bollam,JoelMedina24,White,Srikar Bollam,1507,1433,g3,Won,1507
2024.11.13,HuevosAlapera,Srikar Bollam,White,HuevosAlapera,1507,1499,e4,Lost,1499
2024.11.14,Srikar Bollam,korsmokobe,White,Srikar Bollam,1510,1505,g3,Won,1510
2024.11.14,Srikar Bollam,Sushil07,White,Srikar Bollam,1520,1577,g3,Won,1520
2024.11.14,kdsjnjnfsdkjsfdj,Srikar Bollam,White,kdsjnjnfsdkjsfdj,1440,1510,e4,Lost,1510
2024.11.14,MAGF18,Srikar Bollam,Black,Srikar Bollam,1464,1517,e4,Won,1517
2024.11.17,Srikar Bollam,Pengamen_Elit,Black,Pengamen_Elit,1510,1560,g3,Lost,1510
2024.11.18,Daniels650,Srikar Bollam,Black,Srikar Bollam,1488,1518,d4,Won,1518
2024.11.18,Srikar Bollam,TrolCOVID19,Black,TrolCOVID19,1509,1473,e4,Lost,1509
2024.11.19,duonghpmu,Srikar Bollam,Black,Srikar Bollam,1489,1517,e4,Won,1517
2024.11.19,Srikar Bollam,Yllmaz1,Black,Yllmaz1,1510,1563,g3,Lost,1510
2024.11.19,Srikar Bollam,Amritsingh1122,Black,Amritsingh1122,1499,1404,g3,Lost,1499
2024.11.20,indiobtanco,Srikar Bollam,White,indiobtanco,1635,1494,d4,Lost,1494
2024.11.20,Srikar Bollam,abdo49,White,Srikar Bollam,1505,1631,g3,Won,1505
2024.11.20,4you001,Srikar Bollam,White,4you001,1542,1498,e4,Lost,1498
2024.11.22,Tommy-1985,Srikar Bollam,Black,Srikar Bollam,1549,1507,e4,Won,1507
2024.11.22,boysplayedwell,Srikar Bollam,White,boysplayedwell,1451,1498,e4,Lost,1498
2024.11.22,Srikar Bollam,gjoniblack123,White,Srikar Bollam,1503,1349,g3,Won,1503
2024.11.22,BOHchess92,Srikar Bollam,White,BOHchess92,1574,1495,d4,Lost,1495
2024.11.25,Srikar Bollam,EmperadorJH,Black,EmperadorJH,1491,1688,g3,Lost,1491
2024.11.26,Srikar Bollam,ahnam123456,Black,ahnam123456,1484,1526,g3,Lost,1484
2024.11.26,pensanapaa,Srikar Bollam,White,pensanapaa,1537,1477,e4,Lost,1477
2024.12.02,Srikar Bollam,Ivanovi4i,White,Srikar Bollam,1488,1596,g3,Won,1488
2024.12.02,Ade_Magnus,Srikar Bollam,Black,Srikar Bollam,1387,1494,e4,Won,1494
